2018ausc_qm55,55,"{frc4739,frc4774,frc6520}","{frc5593,frc6579,frc4253}",0,1,25,0
2018ausc_qm56,56,"{frc5985,frc6191,frc5331}","{frc6204,frc4613,frc6118}",5,3,80,125
2018ausc_qm57,57,"{frc4817,frc5983,frc6579}","{frc6187,frc6083,frc6520}",0,0,0,0
2018ausc_qm58,58,"{frc6998,frc4739,frc5593}","{frc6836,frc4774,frc6508}",0,0,0,0
2018ausc_qm59,59,"{frc6434,frc4537,frc7074}","{frc4802,frc7130,frc7278}",0,0,5,5
2018ausc_qm6,6,"{frc6434,frc6024,frc7278}","{frc3132,frc6204,frc6520}",0,0,0,0
2018ausc_qm60,60,"{frc4253,frc6996,frc3008}","{frc3132,frc7023,frc6024}",0,1,25,5
2018ausc_qm61,61,"{frc6118,frc7130,frc6434}","{frc6520,frc6579,frc4537}",0,0,0,5
2018ausc_qm62,62,"{frc5985,frc4253,frc7023}","{frc6998,frc6187,frc4817}",0,0,0,0
2018ausc_qm63,63,"{frc6083,frc5983,frc6024}","{frc4739,frc7074,frc3132}",0,1,25,5
2018ausc_qm64,64,"{frc6836,frc6191,frc5593}","{frc7278,frc6996,frc6204}",1,3,80,25
2018ausc_qm65,65,"{frc6508,frc4802,frc4613}","{frc5331,frc3008,frc4774}",1,3,75,60
2018ausc_qm7,7,"{frc6579,frc6508,frc6998}","{frc5593,frc5331,frc4537}",0,0,0,0
2018ausc_qm8,8,"{frc4253,frc4774,frc6187}","{frc6191,frc7130,frc6996}",0,0,0,10
2018ausc_qm9,9,"{frc6083,frc6118,frc3008}","{frc5983,frc4802,frc4613}",5,0,10,125
